ds,county,y
2019-01-21,Pitt,326
2019-01-22,Cabarrus,268
2019-01-22,Caldwell,143
2019-01-22,Davidson,233
2019-01-22,Durham,335
2019-01-22,Mecklenburg,1229
2019-01-22,Pitt,297
2019-01-23,Cabarrus,243
2019-01-23,Caldwell,129
2019-01-23,Davidson,211
2019-01-23,Durham,303
2019-01-23,Mecklenburg,1112
2019-01-23,Pitt,269
2019-01-24,Cabarrus,256
2019-01-24,Caldwell,136
2019-01-24,Davidson,222
2019-01-24,Durham,319
2019-01-24,Mecklenburg,1170
2019-01-24,Pitt,283
2019-01-25,Cabarrus,256
2019-01-25,Caldwell,136
2019-01-25,Davidson,222
2019-01-25,Durham,319
2019-01-25,Mecklenburg,1170
2019-01-25,Pitt,283
2019-01-26,Cabarrus,281
2019-01-26,Caldwell,149
2019-01-26,Davidson,244
2019-01-26,Durham,351
2019-01-26,Mecklenburg,1287
2019-01-26,Pitt,312
2019-01-27,Cabarrus,307
2019-01-27,Caldwell,163
2019-01-27,Davidson,266
2019-01-27,Durham,383
2019-01-27,Mecklenburg,1404
2019-01-27,Pitt,340
2019-01-28,Cabarrus,294
2019-01-28,Caldwell,156
2019-01-28,Davidson,255
2019-01-28,Durham,367
2019-01-28,Mecklenburg,1346
2019-01-28,Pitt,326
2019-01-29,Cabarrus,268
2019-01-29,Caldwell,143
2019-01-29,Davidson,233
2019-01-29,Durham,335
2019-01-29,Mecklenburg,1229
2019-01-29,Pitt,297
2019-01-30,Cabarrus,243
2019-01-30,Caldwell,129
2019-01-30,Davidson,211
2019-01-30,Durham,303
2019-01-30,Mecklenburg,1112
2019-01-30,Pitt,269
2019-01-31,Cabarrus,256
2019-01-31,Caldwell,136
2019-01-31,Davidson,222
2019-01-31,Durham,319
2019-01-31,Mecklenburg,1170
2019-01-31,Pitt,283
2019-02-01,Cabarrus,280
2019-02-01,Caldwell,144
2019-02-01,Davidson,240
2019-02-01,Durham,334
2019-02-01,Mecklenburg,1223
2019-02-01,Pitt,284
2019-02-02,Cabarrus,307
2019-02-02,Caldwell,159
2019-02-02,Davidson,264
2019-02-02,Durham,367
2019-02-02,Mecklenburg,1346
2019-02-02,Pitt,313
2019-02-03,Cabarrus,335
2019-02-03,Caldwell,173
2019-02-03,Davidson,288
2019-02-03,Durham,400
2019-02-03,Mecklenburg,1468
2019-02-03,Pitt,341
2019-02-04,Cabarrus,321
2019-02-04,Caldwell,166
2019-02-04,Davidson,276
2019-02-04,Durham,384
2019-02-04,Mecklenburg,1407
2019-02-04,Pitt,327
2019-02-05,Cabarrus,293
2019-02-05,Caldwell,151
2019-02-05,Davidson,252
2019-02-05,Durham,350
2019-02-05,Mecklenburg,1285
2019-02-05,Pitt,298
2019-02-06,Cabarrus,266
2019-02-06,Caldwell,137
2019-02-06,Davidson,228
2019-02-06,Durham,317
2019-02-06,Mecklenburg,1162
2019-02-06,Pitt,270
2019-02-07,Cabarrus,280
2019-02-07,Caldwell,144
2019-02-07,Davidson,240
2019-02-07,Durham,334
2019-02-07,Mecklenburg,1223
2019-02-07,Pitt,284
2019-02-08,Cabarrus,280
2019-02-08,Caldwell,144
2019-02-08,Davidson,240
2019-02-08,Durham,334
2019-02-08,Mecklenburg,1223
2019-02-08,Pitt,284
2019-02-09,Cabarrus,307
2019-02-09,Caldwell,159
2019-02-09,Davidson,264
2019-02-09,Durham,367
2019-02-09,Mecklenburg,1346
2019-02-09,Pitt,313
2019-02-10,Cabarrus,335
2019-02-10,Caldwell,173
2019-02-10,Davidson,288
2019-02-10,Durham,400
2019-02-10,Mecklenburg,1468
2019-02-10,Pitt,341
2019-02-11,Cabarrus,321
2019-02-11,Caldwell,166
2019-02-11,Davidson,276
2019-02-11,Durham,384
2019-02-11,Mecklenburg,1407
2019-02-11,Pitt,327
2019-02-12,Cabarrus,293
2019-02-12,Caldwell,151
2019-02-12,Davidson,252
2019-02-12,Durham,350
2019-02-12,Mecklenburg,1285
2019-02-12,Pitt,298
2019-02-13,Cabarrus,266
2019-02-13,Caldwell,137
2019-02-13,Davidson,228
2019-02-13,Durham,317
2019-02-13,Mecklenburg,1162
2019-02-13,Pitt,270
2019-02-14,Cabarrus,280
2019-02-14,Caldwell,144
2019-02-14,Davidson,240
2019-02-14,Durham,334
2019-02-14,Mecklenburg,1223
2019-02-14,Pitt,284
2019-02-15,Cabarrus,280
2019-02-15,Caldwell,144
2019-02-15,Davidson,240
2019-02-15,Durham,334
2019-02-15,Mecklenburg,1223
2019-02-15,Pitt,284
2019-02-16,Cabarrus,307
2019-02-16,Caldwell,159
2019-02-16,Davidson,264
2019-02-16,Durham,367
2019-02-16,Mecklenburg,1346
2019-02-16,Pitt,313
2019-02-17,Cabarrus,335
2019-02-17,Caldwell,173
2019-02-17,Davidson,288
2019-02-17,Durham,400
2019-02-17,Mecklenburg,1468
2019-02-17,Pitt,341
2019-02-18,Cabarrus,321
2019-02-18,Caldwell,166
2019-02-18,Davidson,276
2019-02-18,Durham,384
2019-02-18,Mecklenburg,1407
2019-02-18,Pitt,327
2019-02-19,Cabarrus,293
2019-02-19,Caldwell,151
2019-02-19,Davidson,252
2019-02-19,Durham,350
2019-02-19,Mecklenburg,1285
2019-02-19,Pitt,298
2019-02-20,Cabarrus,266
2019-02-20,Caldwell,137
2019-02-20,Davidson,228
2019-02-20,Durham,317
2019-02-20,Mecklenburg,1162
2019-02-20,Pitt,270
2019-02-21,Cabarrus,280
2019-02-21,Caldwell,144
2019-02-21,Davidson,240
2019-02-21,Durham,334
2019-02-21,Mecklenburg,1223
2019-02-21,Pitt,284
2019-02-22,Cabarrus,280
2019-02-22,Caldwell,144
2019-02-22,Davidson,240
2019-02-22,Durham,334
2019-02-22,Mecklenburg,1223
2019-02-22,Pitt,284
2019-02-23,Cabarrus,307
2019-02-23,Caldwell,159
2019-02-23,Davidson,264
2019-02-23,Durham,367
2019-02-23,Mecklenburg,1346
2019-02-23,Pitt,313
2019-02-24,Cabarrus,335
2019-02-24,Caldwell,173
2019-02-24,Davidson,288
2019-02-24,Durham,400
2019-02-24,Mecklenburg,1468
2019-02-24,Pitt,341
2019-02-25,Cabarrus,321
2019-02-25,Caldwell,166
2019-02-25,Davidson,276
2019-02-25,Durham,384
2019-02-25,Mecklenburg,1407
2019-02-25,Pitt,327
2019-02-26,Cabarrus,293
2019-02-26,Caldwell,151
2019-02-26,Davidson,252
2019-02-26,Durham,350
2019-02-26,Mecklenburg,1285
2019-02-26,Pitt,298
2019-02-27,Cabarrus,266
2019-02-27,Caldwell,137
2019-02-27,Davidson,228
2019-02-27,Durham,317
2019-02-27,Mecklenburg,1162
2019-02-27,Pitt,270
2019-02-28,Cabarrus,280
2019-02-28,Caldwell,144
2019-02-28,Davidson,240
2019-02-28,Durham,334
2019-02-28,Mecklenburg,1223
2019-02-28,Pitt,284
2019-03-01,Cabarrus,260
2019-03-01,Caldwell,138
2019-03-01,Davidson,229
2019-03-01,Durham,338
2019-03-01,Mecklenburg,1168
2019-03-01,Pitt,283
2019-03-02,Cabarrus,287
2019-03-02,Caldwell,151
2019-03-02,Davidson,252
2019-03-02,Durham,372
2019-03-02,Mecklenburg,1285
2019-03-02,Pitt,311
2019-03-03,Cabarrus,313
2019-03-03,Caldwell,165
2019-03-03,Davidson,275
2019-03-03,Durham,406
2019-03-03,Mecklenburg,1401
2019-03-03,Pitt,339
2019-03-04,Cabarrus,300
2019-03-04,Caldwell,158
2019-03-04,Davidson,263
2019-03-04,Durham,389
2019-03-04,Mecklenburg,1343
2019-03-04,Pitt,325
2019-03-05,Cabarrus,274
2019-03-05,Caldwell,144
2019-03-05,Davidson,240
2019-03-05,Durham,355
2019-03-05,Mecklenburg,1226
2019-03-05,Pitt,297
2019-03-06,Cabarrus,247
2019-03-06,Caldwell,131
2019-03-06,Davidson,217
2019-03-06,Durham,321
2019-03-06,Mecklenburg,1109
2019-03-06,Pitt,269
2019-03-07,Cabarrus,260
2019-03-07,Caldwell,138
2019-03-07,Davidson,229
2019-03-07,Durham,338
2019-03-07,Mecklenburg,1168
2019-03-07,Pitt,283
2019-03-08,Cabarrus,260
2019-03-08,Caldwell,138
2019-03-08,Davidson,229
2019-03-08,Durham,338
2019-03-08,Mecklenburg,1168
2019-03-08,Pitt,283
2019-03-09,Cabarrus,287
2019-03-09,Caldwell,151
2019-03-09,Davidson,252
2019-03-09,Durham,372
2019-03-09,Mecklenburg,1285
2019-03-09,Pitt,311
2019-03-10,Cabarrus,313
2019-03-10,Caldwell,165
2019-03-10,Davidson,275
2019-03-10,Durham,406
2019-03-10,Mecklenburg,1401
2019-03-10,Pitt,339
2019-03-11,Cabarrus,300
2019-03-11,Caldwell,158
2019-03-11,Davidson,263
2019-03-11,Durham,389
2019-03-11,Mecklenburg,1343
2019-03-11,Pitt,325
2019-03-12,Cabarrus,274
2019-03-12,Caldwell,144
2019-03-12,Davidson,240
2019-03-12,Durham,355
2019-03-12,Mecklenburg,1226
2019-03-12,Pitt,297
2019-03-13,Cabarrus,247
2019-03-13,Caldwell,131
2019-03-13,Davidson,217
2019-03-13,Durham,321
2019-03-13,Mecklenburg,1109
2019-03-13,Pitt,269
2019-03-14,Cabarrus,260
2019-03-14,Caldwell,138
2019-03-14,Davidson,229
2019-03-14,Durham,338
2019-03-14,Mecklenburg,1168
2019-03-14,Pitt,283
2019-03-15,Cabarrus,260
2019-03-15,Caldwell,138
2019-03-15,Davidson,229
2019-03-15,Durham,338
2019-03-15,Mecklenburg,1168
2019-03-15,Pitt,283
2019-03-16,Cabarrus,287
2019-03-16,Caldwell,151
2019-03-16,Davidson,252
2019-03-16,Durham,372
2019-03-16,Mecklenburg,1285
2019-03-16,Pitt,311
2019-03-17,Cabarrus,313
2019-03-17,Caldwell,165
2019-03-17,Davidson,275
2019-03-17,Durham,406
2019-03-17,Mecklenburg,1401
2019-03-17,Pitt,339
2019-03-18,Cabarrus,300
2019-03-18,Caldwell,158
2019-03-18,Davidson,263
2019-03-18,Durham,389
2019-03-18,Mecklenburg,1343
2019-03-18,Pitt,325
2019-03-19,Cabarrus,274
2019-03-19,Caldwell,144
2019-03-19,Davidson,240
2019-03-19,Durham,355
2019-03-19,Mecklenburg,1226
2019-03-19,Pitt,297
2019-03-20,Cabarrus,247
2019-03-20,Caldwell,131
2019-03-20,Davidson,217
2019-03-20,Durham,321
2019-03-20,Mecklenburg,1109
2019-03-20,Pitt,269
2019-03-21,Cabarrus,260
2019-03-21,Caldwell,138
2019-03-21,Davidson,229
2019-03-21,Durham,338
2019-03-21,Mecklenburg,1168
2019-03-21,Pitt,283
2019-03-22,Cabarrus,260
2019-03-22,Caldwell,138
2019-03-22,Davidson,229
2019-03-22,Durham,338
2019-03-22,Mecklenburg,1168
2019-03-22,Pitt,283
2019-03-23,Cabarrus,287
2019-03-23,Caldwell,151
2019-03-23,Davidson,252
2019-03-23,Durham,372
2019-03-23,Mecklenburg,1285
2019-03-23,Pitt,311
2019-03-24,Cabarrus,313
2019-03-24,Caldwell,165
2019-03-24,Davidson,275
2019-03-24,Durham,406
2019-03-24,Mecklenburg,1401
2019-03-24,Pitt,339
2019-03-25,Cabarrus,300
2019-03-25,Caldwell,158
2019-03-25,Davidson,263
2019-03-25,Durham,389
2019-03-25,Mecklenburg,1343
2019-03-25,Pitt,325
2019-03-26,Cabarrus,274
2019-03-26,Caldwell,144
2019-03-26,Davidson,240
2019-03-26,Durham,355
2019-03-26,Mecklenburg,1226
2019-03-26,Pitt,297
2019-03-27,Cabarrus,247
2019-03-27,Caldwell,131
2019-03-27,Davidson,217
2019-03-27,Durham,321
2019-03-27,Mecklenburg,1109
2019-03-27,Pitt,269
2019-03-28,Cabarrus,260
2019-03-28,Caldwell,138
2019-03-28,Davidson,229
2019-03-28,Durham,338
2019-03-28,Mecklenburg,1168
2019-03-28,Pitt,283
2019-03-29,Cabarrus,260
2019-03-29,Caldwell,138
2019-03-29,Davidson,229
2019-03-29,Durham,338
2019-03-29,Mecklenburg,1168
2019-03-29,Pitt,283
2019-03-30,Cabarrus,287
2019-03-30,Caldwell,151
2019-03-30,Davidson,252
2019-03-30,Durham,372
2019-03-30,Mecklenburg,1285
2019-03-30,Pitt,311
2019-03-31,Cabarrus,313
2019-03-31,Caldwell,165
2019-03-31,Davidson,275
2019-03-31,Durham,406
2019-03-31,Mecklenburg,1401
2019-03-31,Pitt,339
2019-04-01,Cabarrus,299
2019-04-01,Caldwell,157
2019-04-01,Davidson,269
2019-04-01,Durham,392
2019-04-01,Mecklenburg,1358
2019-04-01,Pitt,317
2019-04-02,Cabarrus,273
2019-04-02,Caldwell,144
2019-04-02,Davidson,245
2019-04-02,Durham,358
2019-04-02,Mecklenburg,1240
2019-04-02,Pitt,289
2019-04-03,Cabarrus,247
2019-04-03,Caldwell,130
2019-04-03,Davidson,222
2019-04-03,Durham,324
2019-04-03,Mecklenburg,1122
2019-04-03,Pitt,262
2019-04-04,Cabarrus,260
2019-04-04,Caldwell,137
2019-04-04,Davidson,234
2019-04-04,Durham,341
2019-04-04,Mecklenburg,1181
2019-04-04,Pitt,275
2019-04-05,Cabarrus,260
2019-04-05,Caldwell,137
2019-04-05,Davidson,234
2019-04-05,Durham,341
2019-04-05,Mecklenburg,1181
2019-04-05,Pitt,275
2019-04-06,Cabarrus,286
2019-04-06,Caldwell,150
2019-04-06,Davidson,257
2019-04-06,Durham,375
2019-04-06,Mecklenburg,1299
2019-04-06,Pitt,303
2019-04-07,Cabarrus,313
2019-04-07,Caldwell,164
2019-04-07,Davidson,281
2019-04-07,Durham,409
2019-04-07,Mecklenburg,1417
2019-04-07,Pitt,330
2019-04-08,Cabarrus,299
2019-04-08,Caldwell,157
2019-04-08,Davidson,269
2019-04-08,Durham,392
2019-04-08,Mecklenburg,1358
2019-04-08,Pitt,317
2019-04-09,Cabarrus,273
2019-04-09,Caldwell,144
2019-04-09,Davidson,245
2019-04-09,Durham,358
2019-04-09,Mecklenburg,1240
2019-04-09,Pitt,289
2019-04-10,Cabarrus,247
2019-04-10,Caldwell,130
2019-04-10,Davidson,222
2019-04-10,Durham,324
2019-04-10,Mecklenburg,1122
2019-04-10,Pitt,262
2019-04-11,Cabarrus,260
2019-04-11,Caldwell,137
2019-04-11,Davidson,234
2019-04-11,Durham,341
2019-04-11,Mecklenburg,1181
2019-04-11,Pitt,275
2019-04-12,Cabarrus,260
2019-04-12,Caldwell,137
2019-04-12,Davidson,234
2019-04-12,Durham,341
2019-04-12,Mecklenburg,1181
2019-04-12,Pitt,275
2019-04-13,Cabarrus,286
2019-04-13,Caldwell,150
2019-04-13,Davidson,257
2019-04-13,Durham,375
2019-04-13,Mecklenburg,1299
2019-04-13,Pitt,303
2019-04-14,Cabarrus,313
2019-04-14,Caldwell,164
2019-04-14,Davidson,281
2019-04-14,Durham,409
2019-04-14,Mecklenburg,1417
2019-04-14,Pitt,330
2019-04-15,Cabarrus,299
2019-04-15,Caldwell,157
2019-04-15,Davidson,269
2019-04-15,Durham,392
2019-04-15,Mecklenburg,1358
2019-04-15,Pitt,317
2019-04-16,Cabarrus,273
2019-04-16,Caldwell,144
2019-04-16,Davidson,245
2019-04-16,Durham,358
2019-04-16,Mecklenburg,1240
2019-04-16,Pitt,289
2019-04-17,Cabarrus,247
2019-04-17,Caldwell,130
2019-04-17,Davidson,222
2019-04-17,Durham,324
2019-04-17,Mecklenburg,1122
2019-04-17,Pitt,262
2019-04-18,Cabarrus,260
2019-04-18,Caldwell,137
2019-04-18,Davidson,234
2019-04-18,Durham,341
2019-04-18,Mecklenburg,1181
2019-04-18,Pitt,275
2019-04-19,Cabarrus,260
2019-04-19,Caldwell,137
2019-04-19,Davidson,234
2019-04-19,Durham,341
2019-04-19,Mecklenburg,1181
2019-04-19,Pitt,275
2019-04-20,Cabarrus,286
2019-04-20,Caldwell,150
2019-04-20,Davidson,257
2019-04-20,Durham,375
2019-04-20,Mecklenburg,1299
2019-04-20,Pitt,303
2019-04-21,Cabarrus,313
2019-04-21,Caldwell,164
2019-04-21,Davidson,281
2019-04-21,Durham,409
2019-04-21,Mecklenburg,1417
2019-04-21,Pitt,330
2019-04-22,Cabarrus,299
2019-04-22,Caldwell,157
2019-04-22,Davidson,269
2019-04-22,Durham,392
2019-04-22,Mecklenburg,1358
2019-04-22,Pitt,317
2019-04-23,Cabarrus,273
2019-04-23,Caldwell,144
2019-04-23,Davidson,245
2019-04-23,Durham,358
2019-04-23,Mecklenburg,1240
2019-04-23,Pitt,289
2019-04-24,Cabarrus,247
2019-04-24,Caldwell,130
2019-04-24,Davidson,222
2019-04-24,Durham,324
2019-04-24,Mecklenburg,1122
2019-04-24,Pitt,262
2019-04-25,Cabarrus,260
2019-04-25,Caldwell,137
2019-04-25,Davidson,234
2019-04-25,Durham,341
2019-04-25,Mecklenburg,1181
2019-04-25,Pitt,275
2019-04-26,Cabarrus,260
2019-04-26,Caldwell,137
2019-04-26,Davidson,234
2019-04-26,Durham,341
2019-04-26,Mecklenburg,1181
2019-04-26,Pitt,275
2019-04-27,Cabarrus,286
2019-04-27,Caldwell,150
2019-04-27,Davidson,257
2019-04-27,Durham,375
2019-04-27,Mecklenburg,1299
2019-04-27,Pitt,303
2019-04-28,Cabarrus,313
2019-04-28,Caldwell,164
2019-04-28,Davidson,281
2019-04-28,Durham,409
2019-04-28,Mecklenburg,1417
2019-04-28,Pitt,330
2019-04-29,Cabarrus,299
2019-04-29,Caldwell,157
2019-04-29,Davidson,269
2019-04-29,Durham,392
2019-04-29,Mecklenburg,1358
2019-04-29,Pitt,317
2019-04-30,Cabarrus,273
2019-04-30,Caldwell,144
2019-04-30,Davidson,245
2019-04-30,Durham,358
2019-04-30,Mecklenburg,1240
2019-04-30,Pitt,289
2019-05-01,Cabarrus,250
2019-05-01,Caldwell,131
2019-05-01,Davidson,226
2019-05-01,Durham,322
2019-05-01,Mecklenburg,1132
2019-05-01,Pitt,259
2019-05-02,Cabarrus,263
2019-05-02,Caldwell,138
2019-05-02,Davidson,238
2019-05-02,Durham,339
2019-05-02,Mecklenburg,1191
2019-05-02,Pitt,273
2019-05-03,Cabarrus,263
2019-05-03,Caldwell,138
2019-05-03,Davidson,238
2019-05-03,Durham,339
2019-05-03,Mecklenburg,1191
2019-05-03,Pitt,273
2019-05-04,Cabarrus,289
2019-05-04,Caldwell,152
2019-05-04,Davidson,261
2019-05-04,Durham,373
2019-05-04,Mecklenburg,1310
2019-05-04,Pitt,300
2019-05-05,Cabarrus,315
2019-05-05,Caldwell,166
2019-05-05,Davidson,285
2019-05-05,Durham,406
2019-05-05,Mecklenburg,1430
2019-05-05,Pitt,328
2019-05-06,Cabarrus,302
2019-05-06,Caldwell,159
2019-05-06,Davidson,273
2019-05-06,Durham,390
2019-05-06,Mecklenburg,1370
2019-05-06,Pitt,314
2019-05-07,Cabarrus,276
2019-05-07,Caldwell,145
2019-05-07,Davidson,250
2019-05-07,Durham,356
2019-05-07,Mecklenburg,1251
2019-05-07,Pitt,287
2019-05-08,Cabarrus,250
2019-05-08,Caldwell,131
2019-05-08,Davidson,226
2019-05-08,Durham,322
2019-05-08,Mecklenburg,1132
2019-05-08,Pitt,259
2019-05-09,Cabarrus,263
2019-05-09,Caldwell,138
2019-05-09,Davidson,238
2019-05-09,Durham,339
2019-05-09,Mecklenburg,1191
2019-05-09,Pitt,273
2019-05-10,Cabarrus,263
2019-05-10,Caldwell,138
2019-05-10,Davidson,238
2019-05-10,Durham,339
2019-05-10,Mecklenburg,1191
2019-05-10,Pitt,273
2019-05-11,Cabarrus,289
2019-05-11,Caldwell,152
2019-05-11,Davidson,261
2019-05-11,Durham,373
2019-05-11,Mecklenburg,1310
2019-05-11,Pitt,300
2019-05-12,Cabarrus,315
2019-05-12,Caldwell,166
2019-05-12,Davidson,285
2019-05-12,Durham,406
2019-05-12,Mecklenburg,1430
2019-05-12,Pitt,328
2019-05-13,Cabarrus,302
2019-05-13,Caldwell,159
2019-05-13,Davidson,273
2019-05-13,Durham,390
2019-05-13,Mecklenburg,1370
2019-05-13,Pitt,314
2019-05-14,Cabarrus,276
2019-05-14,Caldwell,145
2019-05-14,Davidson,250
2019-05-14,Durham,356
2019-05-14,Mecklenburg,1251
2019-05-14,Pitt,287
2019-05-15,Cabarrus,250
2019-05-15,Caldwell,131
2019-05-15,Davidson,226
2019-05-15,Durham,322
2019-05-15,Mecklenburg,1132
2019-05-15,Pitt,259
2019-05-16,Cabarrus,263
2019-05-16,Caldwell,138
2019-05-16,Davidson,238
2019-05-16,Durham,339
2019-05-16,Mecklenburg,1191
2019-05-16,Pitt,273
2019-05-17,Cabarrus,263
2019-05-17,Caldwell,138
2019-05-17,Davidson,238
2019-05-17,Durham,339
2019-05-17,Mecklenburg,1191
2019-05-17,Pitt,273
2019-05-18,Cabarrus,289
2019-05-18,Caldwell,152
2019-05-18,Davidson,261
2019-05-18,Durham,373
2019-05-18,Mecklenburg,1310
2019-05-18,Pitt,300
2019-05-19,Cabarrus,315
2019-05-19,Caldwell,166
2019-05-19,Davidson,285
2019-05-19,Durham,406
2019-05-19,Mecklenburg,1430
2019-05-19,Pitt,328
2019-05-20,Cabarrus,302
2019-05-20,Caldwell,159
2019-05-20,Davidson,273
2019-05-20,Durham,390
2019-05-20,Mecklenburg,1370
2019-05-20,Pitt,314
2019-05-21,Cabarrus,276
2019-05-21,Caldwell,145
2019-05-21,Davidson,250
2019-05-21,Durham,356
2019-05-21,Mecklenburg,1251
2019-05-21,Pitt,287
2019-05-22,Cabarrus,250
2019-05-22,Caldwell,131
2019-05-22,Davidson,226
2019-05-22,Durham,322
2019-05-22,Mecklenburg,1132
2019-05-22,Pitt,259
2019-05-23,Cabarrus,263
2019-05-23,Caldwell,138
2019-05-23,Davidson,238
2019-05-23,Durham,339
2019-05-23,Mecklenburg,1191
2019-05-23,Pitt,273
2019-05-24,Cabarrus,263
2019-05-24,Caldwell,138
2019-05-24,Davidson,238
2019-05-24,Durham,339
2019-05-24,Mecklenburg,1191
2019-05-24,Pitt,273
2019-05-25,Cabarrus,289
2019-05-25,Caldwell,152
2019-05-25,Davidson,261
2019-05-25,Durham,373
2019-05-25,Mecklenburg,1310
2019-05-25,Pitt,300
2019-05-26,Cabarrus,315
2019-05-26,Caldwell,166
2019-05-26,Davidson,285
2019-05-26,Durham,406
2019-05-26,Mecklenburg,1430
2019-05-26,Pitt,328
2019-05-27,Cabarrus,302
2019-05-27,Caldwell,159
2019-05-27,Davidson,273
2019-05-27,Durham,390
2019-05-27,Mecklenburg,1370
2019-05-27,Pitt,314
2019-05-28,Cabarrus,276
2019-05-28,Caldwell,145
2019-05-28,Davidson,250
2019-05-28,Durham,356
2019-05-28,Mecklenburg,1251
2019-05-28,Pitt,287
2019-05-29,Cabarrus,250
2019-05-29,Caldwell,131
2019-05-29,Davidson,226
2019-05-29,Durham,322
2019-05-29,Mecklenburg,1132
2019-05-29,Pitt,259
2019-05-30,Cabarrus,263
2019-05-30,Caldwell,138
2019-05-30,Davidson,238
2019-05-30,Durham,339
2019-05-30,Mecklenburg,1191
2019-05-30,Pitt,273
2019-05-31,Cabarrus,263
2019-05-31,Caldwell,138
2019-05-31,Davidson,238
2019-05-31,Durham,339
2019-05-31,Mecklenburg,1191
2019-05-31,Pitt,273
2019-06-01,Cabarrus,277
2019-06-01,Caldwell,144
2019-06-01,Davidson,238
2019-06-01,Durham,352
2019-06-01,Mecklenburg,1234
2019-06-01,Pitt,270
2019-06-02,Cabarrus,302
2019-06-02,Caldwell,157
2019-06-02,Davidson,260
2019-06-02,Durham,384
2019-06-02,Mecklenburg,1346
2019-06-02,Pitt,294
2019-06-03,Cabarrus,290
2019-06-03,Caldwell,150
2019-06-03,Davidson,249
2019-06-03,Durham,368
2019-06-03,Mecklenburg,1290
2019-06-03,Pitt,282
2019-06-04,Cabarrus,264
2019-06-04,Caldwell,137
2019-06-04,Davidson,228
2019-06-04,Durham,336
2019-06-04,Mecklenburg,1178
2019-06-04,Pitt,257
2019-06-05,Cabarrus,239
2019-06-05,Caldwell,124
